"","data","Freq"
"1",",_,",968955
"2","the_dt",539471
"3","._.",465740
"4","and_cc",363060
"5","to_to",346730
"6","of_in",319200
"7","a_dt",248019
"8","i_prp",237037
"9","in_in",183713
"10","he_prp",164358
"11","was_vbd",145534
"12","it_prp",144319
"13","you_prp",130954
"14","his_prp$",129752
"15","''_''",127632
"16","``_``",127126
"17",";_:",120768
"18","had_vbd",104559
"19","that_in",103251
"20","with_in",101632
"21","her_prp$",98872
"22","as_in",96959
"23","for_in",95312
"24","--_:",95297
"25","not_rb",95175
"26","she_prp",95157
"27","be_vb",83158
"28","my_prp$",81521
"29","but_cc",78415
"30","'_''",76286
"31","at_in",74985
"32","is_vbz",68821
"33","him_prp",64981
"34","me_prp",64654
"35","on_in",60817
"36","!_.",58890
"37","`_``",58825
"38","?_.",58456
"39","'s_pos",57710
"40","said_vbd",57199
"41","which_wdt",52629
"42","this_dt",52258
"43","by_in",51146
"44","so_rb",47313
"45","would_md",45001
"46","from_in",42465
"47","that_dt",42426
"48","if_in",41994
"49","what_wp",39644
"50","they_prp",38784
"51","mr._nnp",36942
"52","been_vbn",36852
"53","were_vbd",36698
"54","have_vb",36111
"55","have_vbp",36049
"56","or_cc",35536
"57","an_dt",35418
"58","all_dt",35381
"59","no_dt",35114
"60","when_wrb",33428
"61","your_prp$",33328
"62","n't_rb",32983
"63","will_md",31689
"64","very_rb",31422
"65","one_cd",30966
"66","who_wp",30457
"67",":_:",30052
"68","could_md",29903
"69","there_ex",27628
"70","are_vbp",27133
"71","do_vbp",26342
"72","them_prp",25709
"73","we_prp",25389
"74","their_prp$",24175
"75","now_rb",23917
"76","man_nn",23603
"77","should_md",23105
"78","than_in",22167
"79","upon_in",21916
"80","then_rb",21546
"81","into_in",21253
"82","any_dt",21247
"83","her_prp",20812
"84","did_vbd",20779
"85","little_jj",20724
"86","can_md",20335
"87","some_dt",20291
"88","up_rp",20077
"89","has_vbz",18367
"90","'s_vbz",18349
"91","am_vbp",17980
"92","time_nn",17892
"93","never_rb",17674
"94","must_md",17472
"95","how_wrb",16849
"96","good_jj",16805
"97","about_in",16549
"98","other_jj",16225
"99","own_jj",16167
"100","himself_prp",15617
"101","that_wdt",15549
"102","out_rp",15093
"103","do_vb",15005
"104","too_rb",14565
"105","well_rb",14525
"106","mrs._nnp",14250
"107","after_in",14208
"108","only_rb",14205
"109","might_md",14077
"110","before_in",14007
"111","such_jj",13960
"112","old_jj",13892
"113","may_md",13770
"114","more_rbr",13739
"115","great_jj",13715
"116","see_vb",13575
"117","like_in",13115
"118","say_vb",13046
"119","-rrb-_-rrb-",12994
"120","miss_nnp",12895
"121","-lrb-_-lrb-",12892
"122","again_rb",12664
"123","two_cd",12450
"124","more_jjr",12345
"125","shall_md",12327
"126","here_rb",12319
"127","as_rb",12063
"128","-_:",11935
"129","go_vb",11868
"130","way_nn",11847
"131","all_pdt",11635
"132","nothing_nn",11578
"133","being_vbg",11548
"134","young_jj",11210
"135","dear_rb",11177
"136","our_prp$",11153
"137","these_dt",11091
"138","know_vbp",11084
"139","much_jj",11038
"140","make_vb",10985
"141","without_in",10854
"142","over_in",10787
"143","where_wrb",10646
"144","day_nn",10301
"145","came_vbd",10215
"146","know_vb",10121
"147","every_dt",10114
"148","though_in",10004
"149","us_prp",10003
"150","hand_nn",9992
"151","out_in",9817
"152","ever_rb",9790
"153","think_vb",9696
"154","father_nn",9582
"155","yet_rb",9517
"156","last_jj",9478
"157","went_vbd",9464
"158","its_prp$",9362
"159","life_nn",9313
"160","eyes_nns",9231
"161","take_vb",9157
"162","even_rb",9117
"163","those_dt",8791
"164","away_rb",8786
"165","there_rb",8779
"166","thought_vbd",8663
"167","still_rb",8617
"168","head_nn",8595
"169","always_rb",8587
"170","house_nn",8585
"171","let_vb",8526
"172","mr_nnp",8437
"173","'ll_md",8319
"174","made_vbd",8305
"175","why_wrb",8248
"176","myself_prp",8159
"177","many_jj",8158
"178","most_rbs",8140
"179","lady_nn",8111
"180","much_rb",8089
"181","herself_prp",8070
"182","quite_rb",7949
"183","once_rb",7934
"184","just_rb",7868
"185","first_jj",7830
"186","face_nn",7793
"187","give_vb",7676
"188","woman_nn",7628
"189","another_dt",7602
"190","looked_vbd",7602
"191","thing_nn",7574
"192","mother_nn",7565
"193","indeed_rb",7522
"194","done_vbn",7510
"195","down_rp",7485
"196","having_vbg",7456
"197","friend_nn",7447
"198","think_vbp",7417
"199","mind_nn",7364
"200","heart_nn",7357
"201","come_vb",7344
"202","made_vbn",7328
"203","tell_vb",7296
"204","same_jj",7217
"205","took_vbd",7160
"206","under_in",7133
"207","seemed_vbd",7101
"208","poor_jj",7031
"209","sir_nn",7020
"210","something_nn",6998
"211","through_in",6907
"212","back_rb",6893
"213","perhaps_rb",6869
"214","world_nn",6859
"215","knew_vbd",6841
"216","going_vbg",6830
"217","men_nns",6820
"218","people_nns",6799
"219","moment_nn",6776
"220","saw_vbd",6729
"221","room_nn",6694
"222","place_nn",6678
"223","whom_wp",6668
"224","sir_nnp",6624
"225","against_in",6521
"226","while_in",6463
"227","yes_uh",6310
"228","come_vbn",6263
"229","because_in",6250
"230","night_nn",6240
"231","rather_rb",6230
"232","letter_nn",6223
"233","gentleman_nn",6104
"234","things_nns",6082
"235","such_pdt",6038
"236","get_vb",5995
"237","between_in",5937
"238","course_nn",5930
"239","till_in",5927
"240","oh_uh",5916
"241","door_nn",5808
"242","both_dt",5768
"243","soon_rb",5764
"244","off_rp",5733
"245","seen_vbn",5685
"246","looking_vbg",5675
"247","better_jjr",5462
"248","since_in",5460
"249","word_nn",5460
"250","sure_jj",5393
"251","however_rb",5380
"252","home_nn",5379
"253","three_cd",5377
"254","nor_cc",5372
"255","anything_nn",5327
"256","hands_nns",5297
"257","part_nn",5279
"258","almost_rb",5269
"259","lady_nnp",5259
"260","family_nn",5228
"261","felt_vbd",5085
"262","morning_nn",5073
"263","long_jj",5067
"264","wife_nn",5048
"265","enough_rb",5029
"266","words_nns",5024
"267","look_vb",4995
"268","replied_vbd",4995
"269","few_jj",4967
"270","far_rb",4962
"271","gave_vbd",4923
"272","years_nns",4887
"273","love_nn",4878
"274","side_nn",4821
"275","name_nn",4755
"276","asked_vbd",4685
"277","gone_vbn",4678
